Serial_Number,Company_Name,Current_Market_Price_Rs,Price_to_Earnings_Ratio,Market_Capitalization_Rs_Cr,Dividend_Yield_Percentage,Net_Profit_Quarter_Rs_Cr,Quarterly_Profit_Variation_Percentage,Sales_Quarter_Rs_Cr,Quarterly_Sales_Variation_Percentage,Return_on_Capital_Employed_Percentage
239.,Bansal Wire Inds,361.80,49.25,5664.19,0.00,35.77,172.85,929.26,65.31,14.27
240.,PCBL Chemical,372.70,31.57,14068.03,1.48,93.11,-36.81,2010.00,21.32,14.16
241.,Shaily Engineer.,1809.50,99.14,8315.14,0.06,25.20,73.55,197.58,24.70,14.12
242.,Bengal & Assam,7366.05,10.25,8320.93,0.54,140.12,-73.09,490.47,-87.02,14.11
243.,JP Power Ven.,13.45,5.95,9217.90,0.00,126.68,-42.08,1140.17,-47.95,13.97
244.,Garware Hi Tech,3858.20,28.80,8963.52,0.26,60.81,8.82,466.37,2.81,13.96
245.,Suprajit Engg.,391.45,41.38,5427.88,0.64,33.41,-16.99,831.58,14.83,13.94
246.,Relaxo Footwear,403.00,57.16,10032.23,0.74,33.01,-14.42,666.90,-6.43,13.86
247.,G M D C,250.13,11.93,7954.13,3.82,147.66,26.39,653.42,15.80,13.78
248.,Manappuram Fin.,208.14,8.96,17617.69,1.71,278.46,-51.39,2559.72,11.04,13.75
249.,Godrej Agrovet,720.25,35.11,13847.63,1.39,109.85,32.41,2449.63,4.45,13.71
250.,Kama Holdings,2415.05,9.98,7750.03,1.47,272.23,6.29,3525.54,14.62,13.56
251.,Balrampur Chini,472.95,23.22,9548.97,0.63,70.47,-22.84,1192.15,-3.11,13.46
252.,Manorama Indust.,1028.70,74.51,6130.95,0.04,29.53,296.91,209.20,112.49,13.38
253.,HFCL,77.55,30.57,11187.93,0.26,72.58,-11.75,1011.95,-1.97,13.26
254.,Hatsun Agro,868.00,67.15,19334.55,0.69,40.94,-28.68,2009.75,6.48,13.19
255.,Alembic Pharma,827.35,27.40,16262.65,1.33,137.70,-23.69,1692.74,3.81,13.14
256.,Arvind Ltd,319.00,27.70,8351.99,1.18,106.24,12.91,2089.21,10.64,13.08
257.,Powergrid Infra.,75.80,8.12,6897.79,,251.85,10.66,265.44,10.26,12.83
258.,Bajaj Electrical,565.85,62.95,6526.64,0.53,33.36,-10.71,1289.72,5.01,12.73
259.,CCL Products,570.40,27.83,7616.43,0.79,63.04,-0.40,758.41,14.14,12.39
260.,ISGEC Heavy,945.30,27.87,6950.74,0.42,23.10,-67.59,1496.66,0.28,12.31
261.,INDIA SHELTE FIN,768.70,23.91,8292.39,0.00,95.93,54.40,303.96,45.70,12.23
262.,Greenlam Industr,467.30,55.37,5961.53,0.18,12.54,-50.36,602.04,6.86,12.08
263.,Gallantt Ispat L,312.60,19.86,7542.44,0.32,113.67,118.68,1118.32,5.24,11.96
264.,Shoppers Stop,480.80,149.74,5291.64,0.00,52.23,41.74,1379.47,11.47,11.84
265.,IIFL Finance,313.25,12.46,13297.98,1.28,81.71,-91.70,2442.58,-7.78,11.81
266.,Privi Speci.,1501.75,38.72,5866.24,0.13,44.48,54.52,490.87,21.56,11.79
267.,Shrem InvIT,114.50,6.42,6994.17,,236.91,-19.15,574.48,8.21,11.76
268.,Quess Corp,610.20,23.93,9079.16,1.64,85.14,18.82,5519.07,13.99,11.74
269.,CESC,138.67,13.17,18381.69,3.25,282.00,-5.69,3561.00,9.77,11.60
270.,Edelweiss.Fin.,86.72,17.73,8202.24,1.73,155.18,-0.58,1928.35,-19.58,11.50
271.,Westlife Food,689.75,945.14,10755.70,0.50,7.01,-59.34,653.72,8.91,11.47
272.,GMR Urban,100.28,,7168.38,0.00,-108.45,38.25,1611.51,46.13,11.39
273.,Sudarshan Chem.,957.90,52.78,7526.50,0.48,0.51,38.79,666.43,17.80,11.36
274.,Lemon Tree Hotel,127.55,56.48,10105.10,0.00,79.84,76.53,355.18,22.40,11.36
275.,Aadhar Hsg. Fin.,414.65,20.59,17887.36,0.00,239.34,17.17,797.61,18.51,11.36
276.,ERIS Lifescience,1254.75,51.87,17085.00,0.59,86.93,-17.57,727.45,49.59,11.27
277.,Home First Finan,992.95,24.78,8942.06,0.34,97.38,23.55,405.95,37.01,11.25
278.,Dr Agarwal's Hea,422.95,195.41,13360.14,0.00,28.24,12.77,430.72,29.46,11.20
279.,Ujjivan Small,35.26,7.02,6822.05,4.25,108.62,-63.80,1591.07,8.19,11.09
280.,SBFC Finance,83.32,27.86,9033.16,0.00,88.08,37.58,333.17,26.28,10.93
281.,Finolex Inds.,174.89,22.74,10851.52,1.43,94.02,-1.45,1001.24,-1.81,10.91
282.,V2 Retail,1692.50,85.97,5854.25,0.00,50.88,111.21,590.94,58.11,10.85
283.,Energy InfrTrust,84.25,6.87,5594.20,,133.07,,1378.37,15.81,10.84
284.,Gokaldas Exports,867.45,41.34,6199.36,0.00,50.34,65.48,987.77,79.08,10.76
285.,Deepak Fertiliz.,1118.15,16.20,14115.28,0.76,253.09,335.56,2579.02,39.21,10.72
286.,PTC Industries,12126.95,352.77,18171.17,0.00,14.24,80.45,66.92,20.69,10.61
287.,Texmaco Rail,127.19,20.03,5080.82,0.39,76.38,151.00,1326.14,47.93,10.59
288.,Sai Life,700.30,175.98,14571.10,0.00,53.85,35.95,439.78,14.64,10.57
289.,Dilip Buildcon,438.05,20.65,6404.95,0.23,157.67,135.80,2589.69,-9.98,10.47
290.,Trident,24.39,42.39,12429.31,1.48,80.10,-26.73,1667.09,-9.17,10.43
291.,IFCI,40.70,90.17,10637.32,0.00,-8.74,-147.97,457.55,0.68,10.24
292.,Sh.Renuka Sugar,27.39,,5829.93,0.00,-203.70,-18.58,2603.10,-14.79,10.15
293.,JM Financial,89.11,15.60,8517.52,2.24,207.39,-25.31,1106.14,-10.51,10.13
294.,Sammaan Capital,107.57,,8910.41,1.86,302.44,-0.06,2016.52,-5.89,10.08
295.,Chalet Hotels,767.30,165.76,16762.08,0.00,96.52,36.68,457.79,22.51,10.06
296.,Jubilant Ingrev.,678.30,52.35,10804.04,0.74,69.38,79.93,1056.77,9.35,9.97
297.,AAVAS Financiers,1872.45,26.32,14820.43,0.00,146.42,25.52,596.74,17.47,9.91
298.,Puravankara,238.53,,5656.73,2.64,-92.64,-219.76,318.17,-44.54,9.89
299.,Syrma SGS Tech.,413.75,52.14,7347.58,0.36,53.00,224.93,869.20,22.99,9.84
300.,Jindal Worldwide,60.68,74.17,6083.79,0.07,18.45,-12.27,624.30,42.61,9.83
301.,Genus Power,243.20,36.92,7391.53,0.25,68.21,404.51,604.20,132.58,9.76
