Serial_Number,Company_Name,Current_Market_Price_Rs,Price_to_Earnings_Ratio,Market_Capitalization_Rs_Cr,Dividend_Yield_Percentage,Net_Profit_Quarter_Rs_Cr,Quarterly_Profit_Variation_Percentage,Sales_Quarter_Rs_Cr,Quarterly_Sales_Variation_Percentage,Return_on_Capital_Employed_Percentage
418.,Sundaram Clayton,2637.90,,5815.56,0.20,-54.20,-416.60,562.60,89.60,-1.97
419.,Chemplast Sanmar,496.90,,7856.46,0.00,-31.26,-220.00,992.75,0.51,-2.06
420.,Gujarat Alkalies,749.75,,5506.16,0.00,-18.18,1.03,990.73,2.00,-3.83
421.,Borosil Renew.,548.40,,7160.35,0.00,-13.12,-1770.36,372.42,-7.28,-3.94
422.,Alok Industries,20.96,,10407.14,0.00,-262.10,-49.92,885.66,-35.46,-4.40
423.,LS Industries,90.90,,7715.76,0.00,-0.50,-177.78,0.01,-90.91,-4.67
424.,Dhani Services,108.29,,6532.41,0.00,4.19,103.99,102.63,4.11,-5.16
425.,Johnson Con. Hit,1898.35,123.25,5161.61,0.00,-30.05,32.27,396.28,41.45,-7.35
426.,NMDC Steel,43.44,,12730.55,0.00,-595.37,-354.13,1522.35,448.77,-8.69
427.,Equinox India,130.20,,8286.85,0.00,24.27,231.98,245.97,155.26,-10.94
428.,Websol Energy,1770.80,142.27,7688.17,0.00,41.98,1162.78,143.55,47750.00,-14.26
429.,Zinka Logistics,453.40,,8001.55,0.00,-269.47,130.78,98.77,55.86,-32.33
430.,SPARC,202.02,,6555.99,0.00,-107.69,-24.61,12.86,-39.28,-109.10
431.,Diamond Power,150.75,458.40,7944.09,0.00,4.00,14.94,250.30,235.75,
432.,Sanofi Consumer,4909.80,,11307.57,0.00,45.00,-35.58,159.90,-23.97,
433.,Raymond Lifestyl,2069.15,25.67,12606.01,0.00,42.18,-34.70,1708.26,-5.27,
