Serial_Number,Company_Name,Current_Market_Price_Rs,Price_to_Earnings_Ratio,Market_Capitalization_Rs_Cr,Dividend_Yield_Percentage,Net_Profit_Quarter_Rs_Cr,Quarterly_Profit_Variation_Percentage,Sales_Quarter_Rs_Cr,Quarterly_Sales_Variation_Percentage,Return_on_Capital_Employed_Percentage
179.,Affle India,1781.25,72.97,25020.74,0.00,91.99,37.75,542.88,25.87,16.25
180.,MRF,126362.50,27.52,53592.14,0.16,470.70,-19.77,6881.09,10.68,16.12
181.,Escorts Kubota,3371.90,32.47,37724.06,0.53,324.22,54.02,2488.49,0.44,16.08
182.,K E C Intl.,1223.80,77.27,32577.56,0.33,85.41,52.98,5113.31,13.65,16.05
183.,Max Healthcare,1178.35,108.17,114551.18,0.13,281.81,1.85,1707.46,25.26,16.00
184.,Kalpataru Proj.,1281.85,42.47,21890.48,0.62,125.56,41.25,4929.93,9.11,15.99
185.,Crompton Gr. Con,366.75,47.65,23609.49,0.82,128.07,28.47,1896.01,6.38,15.82
186.,J K Cements,4726.55,50.35,36521.23,0.32,136.15,-75.62,2560.12,-7.00,15.80
187.,Five-Star Bus.Fi,790.45,23.85,23193.96,0.00,267.94,34.38,702.05,35.32,15.80
188.,General Insuranc,457.70,11.04,80298.89,2.18,1855.71,9.87,12377.97,-5.33,15.78
189.,Lupin,2368.85,41.15,108075.12,0.34,859.48,74.12,5672.73,12.59,15.72
190.,Firstsour.Solu.,401.25,52.96,28369.50,0.87,138.21,9.25,1925.38,25.03,15.42
191.,Oberoi Realty,2255.20,35.31,81999.58,0.35,589.44,29.05,1319.89,8.42,15.24
192.,UltraTech Cem.,11786.00,51.75,340261.89,0.59,825.18,-35.95,15634.73,-2.36,15.12
193.,Apollo Hospitals,7298.35,88.70,104939.08,0.22,395.70,63.46,5589.30,15.32,15.11
194.,Indian Hotels Co,872.45,86.75,124187.34,0.20,582.71,87.82,1826.12,27.42,15.11
195.,Ashok Leyland,234.13,26.63,68752.91,2.11,766.55,15.40,11147.58,-2.46,15.01
196.,Prestige Estates,1656.25,104.74,71339.69,0.11,234.60,-77.41,2304.40,3.04,14.86
197.,Torrent Power,1513.45,34.00,76263.28,1.06,495.72,-8.53,7175.81,3.09,14.77
198.,Shree Cement,26096.25,54.38,94157.22,0.40,76.64,-82.88,4054.17,-15.07,14.76
199.,Aegis Logistics,811.45,48.78,28481.90,0.80,152.02,-0.80,1750.42,41.75,14.74
200.,Syngene Intl.,856.85,74.82,34491.38,0.15,106.10,-13.19,891.00,-2.10,14.74
201.,TVS Motor Co.,2482.95,62.51,117964.95,0.32,588.13,45.08,11301.68,13.78,14.68
202.,GAIL (India),191.09,10.89,125643.58,2.88,2689.67,10.13,33888.90,2.74,14.66
203.,360 ONE,1297.15,51.08,50365.32,1.27,245.49,32.05,862.76,56.87,14.47
204.,Aurobindo Pharma,1319.45,21.21,77311.67,0.34,816.95,8.65,7796.07,7.99,14.10
205.,Kalyan Jewellers,777.80,128.21,80225.04,0.15,130.33,-3.37,6065.48,37.40,14.04
206.,Bharti Hexacom,1494.70,79.54,74735.00,0.27,253.10,194.62,2097.60,20.66,13.98
207.,Container Corpn.,785.80,36.94,47878.35,1.46,366.26,6.28,2287.75,4.23,13.93
208.,Samvardh. Mothe.,160.08,29.74,112637.01,0.50,948.81,218.76,27811.86,18.48,13.68
209.,M & M,3190.55,33.44,396754.09,0.66,3361.06,35.05,37923.74,10.13,13.58
210.,Gland Pharma,1901.10,45.29,31320.95,1.05,163.53,-15.74,1405.83,2.36,13.58
211.,United Breweries,2128.10,119.15,56268.06,0.47,132.33,23.33,2116.72,11.99,13.49
212.,Larsen & Toubro,3659.90,37.38,503284.06,0.77,4098.84,5.36,61554.58,20.64,13.44
213.,JSW Steel,915.05,43.59,223771.27,0.80,404.00,-76.10,39684.00,-10.99,13.30
214.,SBI Life Insuran,1447.70,66.50,145072.42,0.19,529.42,39.25,40301.73,39.91,13.23
215.,Power Grid Corpn,316.05,18.71,293945.58,3.56,3793.02,0.31,11277.76,0.09,13.21
216.,Hatsun Agro,1005.05,73.54,22387.31,0.60,64.32,-17.08,2072.10,8.75,13.19
217.,Radico Khaitan,2590.55,119.87,34658.38,0.12,82.19,32.82,1116.30,20.68,13.16
218.,Jindal Steel,957.85,19.31,97709.14,0.21,860.47,-38.00,11213.31,-8.46,13.16
219.,Muthoot Finance,2237.25,20.35,89817.51,1.07,1251.14,26.25,4117.44,34.57,13.15
220.,Alembic Pharma,1053.25,32.53,20703.01,1.04,153.14,4.82,1647.98,3.33,13.14
221.,Bharti Airtel,1598.85,67.48,956993.70,0.50,4153.40,119.37,41473.30,11.96,13.13
222.,Bajaj Holdings,11607.95,17.44,129184.88,1.13,1510.43,-3.67,279.07,24.18,13.07
223.,Adani Ports,1199.55,25.33,259119.47,0.50,2412.54,40.37,7067.02,6.33,12.93
224.,Bharat Forge,1296.15,62.40,61967.46,0.69,243.30,12.57,3688.51,-2.27,12.90
225.,Ambuja Cements,548.70,46.03,135151.59,0.36,472.89,-29.90,7516.11,1.24,12.84
226.,Ipca Labs.,1735.00,70.65,44017.68,0.23,245.75,43.14,2354.90,15.78,12.77
227.,SRF,2284.90,59.98,67730.11,0.32,201.42,-33.03,3424.30,7.77,12.71
228.,Brigade Enterpr.,1295.10,69.14,31633.10,0.15,115.08,2.29,1072.16,-21.54,12.66
229.,SBI Cards,723.55,31.14,68835.14,0.35,404.42,-32.93,4421.04,8.16,12.54
230.,Phoenix Mills,1574.40,53.25,56285.21,0.16,292.16,-13.66,917.97,4.91,12.44
231.,Glenmark Pharma.,1636.10,,46168.80,0.15,354.48,297.23,3433.80,7.06,12.34
232.,Bajaj Finance,7407.25,29.82,458506.16,0.49,4013.74,12.64,17090.27,27.71,11.92
233.,Tech Mahindra,1689.45,50.52,165361.18,2.37,1257.50,153.11,13313.20,3.49,11.88
234.,Bajaj Finserv,1701.10,31.95,271608.19,0.06,4180.15,8.19,33703.74,29.52,11.72
235.,CESC,185.90,17.45,24642.35,2.42,373.00,1.44,4700.00,8.00,11.60
236.,Vishal Mega Mart,112.18,111.57,50578.82,0.00,254.14,,5032.51,19.27,11.36
237.,Hindalco Inds.,591.15,10.18,132844.80,0.59,3909.00,96.22,58203.00,7.45,11.29
238.,Shriram Finance,3048.35,14.62,114635.88,1.48,2153.27,17.99,10089.54,17.93,11.27
239.,Kaynes Tech,7544.70,258.85,48294.21,0.00,62.57,146.24,432.84,48.46,11.22
240.,Jubilant Food.,759.10,205.45,50088.85,0.16,66.53,-29.16,1954.72,42.82,11.20
241.,Patanjali Foods,1864.85,67.86,67506.61,0.43,308.97,21.38,8154.19,4.25,11.14
242.,Tata Power Co.,396.65,33.39,126743.14,0.50,1093.08,14.18,15697.67,-0.26,11.13
243.,Macrotech Devel.,1399.55,64.95,139526.29,0.16,423.10,109.46,2625.70,50.07,11.06
244.,Poonawalla Fin,319.60,59.56,24864.60,0.63,-471.04,-242.18,988.87,33.88,10.80
245.,Shyam Metalics,776.85,25.94,21684.36,0.58,215.68,-55.29,3634.02,23.58,10.79
246.,Chola Financial,1552.75,14.19,29157.15,0.04,1125.24,24.86,8090.16,28.06,10.72
247.,Tata Consumer,939.45,68.02,92954.69,0.82,367.21,11.20,4214.45,12.87,10.65
248.,PTC Industries,14404.30,479.53,21583.58,0.00,17.31,112.65,72.37,25.84,10.61
249.,NTPC,339.85,14.93,329541.20,2.28,5380.25,14.30,44696.30,-0.64,10.47
250.,Cholaman.Inv.&Fn,1320.25,28.82,111004.13,0.15,967.80,25.22,6255.12,35.32,10.41
251.,Adani Wilmar,328.60,40.56,42707.44,0.00,325.73,954.26,13994.39,19.41,10.41
252.,Fortis Health.,732.05,80.34,55266.71,0.14,193.08,26.85,1988.39,12.34,10.34
253.,Amber Enterp.,7745.20,140.99,26196.98,0.00,20.96,440.71,1684.70,81.73,10.18
254.,Exide Inds.,424.75,43.17,36103.75,0.47,233.40,-14.15,4450.00,1.80,10.15
255.,Chalet Hotels,992.75,288.28,21684.42,0.00,-138.51,-480.15,377.05,19.87,10.06
256.,REC Ltd,538.05,9.52,141680.62,2.97,4037.72,6.54,13682.43,17.06,10.05
257.,Aditya Birla Cap,184.45,12.95,48077.02,0.00,1020.68,43.00,10322.01,35.69,9.95
258.,Adani Enterp.,2564.60,52.44,296001.19,0.05,1989.19,577.60,22608.07,15.66,9.87
259.,Power Fin.Corpn.,464.80,7.24,153388.73,2.90,7214.90,9.71,25721.79,14.88,9.85
260.,Max Financial,1109.80,111.22,38300.84,0.00,139.34,-23.89,13372.39,31.56,9.77
261.,Gujarat Fluoroch,4130.55,110.64,45374.09,0.07,121.00,128.30,1188.00,25.45,9.76
262.,Adani Green,1038.25,127.57,164462.17,0.00,515.00,-15.03,3055.00,37.61,9.65
